Property_Name,Location,Region,Property_Age,Availability,Area_Type,Area_SqFt,Rate_SqFt,Floor_No,Bedroom,Bathroom,Price_Lakh,USD
RNA NG Vikas ,Beverly Park Mira Road Mira Road And Beyond Mumbai,Mira Road,5 to 10 Year,Ready To Move,Super Built Up Area,595,9243,5,1,1,55,64705.88235
Goodwill Heritage ,Sector 16 Koparkhairane Navi Mumbai Mumbai,Koparkhairane Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1286,8942,6,2,2,115,135294.1176
Evershine Millennium Paradise ,Thakur Village Mumbai,Thakur Village,10+ Year,Ready To Move,Carpet Area,1100,24090,4,3,3,265,311764.7059
Aurum Q Residences ,Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1157,14693,13,2,2,170,200000
Unnamed Property,Sector 50 Seawoods Navi Mumbai Mumbai,Seawoods Navi-Mumbai,5 to 10 Year,Ready To Move,Carpet Area,700,12857,3,2,2,90,105882.3529
Sai Kaveesha ,Taloja Navi Mumbai Mumbai,Taloja Navi-Mumbai,0 to 1 Year,Ready To Move,Carpet Area,33.57,116175,1,1,1,39,45882.35294
Sonal Dev Con Gopal Krishna ,901 Belapur Navi Mumbai Mumbai,Belapur Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1800,16666,9,3,3,300,352941.1765
Monte South ,Byculla Byculla Mumbai Harbour Mumbai,Mumbai Harbour,0 to 1 Year,Ready To Move,Carpet Area,1201,46960,18,3,3,564,663529.4118
Lodha Dioro ,Wadala East Wadala Mumbai Harbour Mumbai,Mumbai Harbour,0 to 1 Year,Ready To Move,Carpet Area,1330,34736,16,3,4,462,543529.4118
Unnamed Property,Dadar East Dadar East South Mumbai Mumbai,Dadar Mumbai,0 to 1 Year,Ready To Move,Carpet Area,1600,37437,45,3,4,599,704705.8824
Unnamed Property,Dadar East Dadar East South Mumbai Mumbai,Dadar Mumbai,0 to 1 Year,Ready To Move,Carpet Area,2100,38095,3,4,4,800,941176.4706
Kulswamini Srushti Residency ,106 Dombivli East Thane Mumbai,Dombivli Thane,5 to 10 Year,Ready To Move,Super Built Up Area,985,7614,1,2,2,75,88235.29412
Aboli Estate ,106 Dombivli East Thane Mumbai,Dombivli Thane,0 to 1 Year,Ready To Move,Carpet Area,450,9388,1,1,1,42.2,49647.05882
Aboli Estate ,105 Dombivli East Thane Mumbai,Dombivli Thane,0 to 1 Year,Ready To Move,Carpet Area,669,9288,1,2,2,62.1,73058.82353
Mangeshi Dazzle ,1102 Dombivli East Thane Mumbai,Dombivli Thane,0 to 1 Year,Ready To Move,Super Built Up Area,960,8500,11,2,2,81.6,96000
Kosmos Nandanvan ,Borivali West Mumbai,Borivali Mumbai,0 to 1 Year,Ready To Move,Carpet Area,695,33812,14,2,2,235,276470.5882
K Guru Residency ,Borivali West Mumbai,Borivali Mumbai,5 to 10 Year,Ready To Move,Carpet Area,825,22424,2,2,2,185,217647.0588
Haware Splendor ,601 Sector 20 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,850,12941,7,2,2,110,129411.7647
Jalvayu Vihar ,601 Sector 20 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1050,11428,6,2,2,120,141176.4706
Shah Royale ,601 Sector 2 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1120,12500,4,2,2,140,164705.8824
R S Grandeur ,902 Sector 19 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1210,10330,11,2,2,125,147058.8235
Sai Yashaskaram ,902 Sector 27 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1150,11304,18,2,2,130,152941.1765
Kasturi Heights ,802 Sector 20 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1630,12269,10,3,3,200,235294.1176
Neelsidhi Anexo ,Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,700,13571,7,1,2,95,111764.7059
Poonam Valley ,901 Miragaon Mira Road And Beyond Mumbai,Mira Road,0 to 1 Year,Ready To Move,Super Built Up Area,1030,8543,7,2,2,88,103529.4118
Unnamed Property,Borivali East Mumbai,Borivali Mumbai,10+ Year,Ready To Move,Carpet Area,900,28888,6,3,3,260,305882.3529
Pyramid Elements ,Airoli Navi Mumbai Mumbai,Airoli Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1050,12000,27,2,2,126,148235.2941
Gundecha Asta ,Mehra Compound Sakinaka Mumbai,Sakinaka Mumbai,1 to 5 Year,Ready To Move,Carpet Area,886,24830,6,3,2,220,258823.5294
Oak Residency ,Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1030,10679,5,2,2,110,129411.7647
Balaji Mayuresh Delta ,Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Built Up Area,1245,10240,10,2,2,127,149411.7647
Raas Leela Vrindavan ,Ramdev Park Mira Road Mira Road And Beyond Mumbai,Mira Road,0 to 1 Year,Ready To Move,Carpet Area,650,11384,2,2,2,74,87058.82353
Haware Citi ,200 Thane West Thane Mumbai,Thane,5 to 10 Year,Ready To Move,Carpet Area,718,10167,2,3,3,73,85882.35294
Unnamed Property,103 Mira Road Mira Road And Beyond Mumbai,Mira Road,0 to 1 Year,Ready To Move,Super Built Up Area,650,8923,1,1,2,58,68235.29412
Unique Shanti The Address ,304 Mira Road Mira Road And Beyond Mumbai,Mira Road,0 to 1 Year,Ready To Move,Super Built Up Area,1060,8962,2,2,2,95,111764.7059
Unique Shanti The Address ,201 Mira Road Mira Road And Beyond Mumbai,Mira Road,0 to 1 Year,Ready To Move,Carpet Area,450,15333,2,1,2,69,81176.47059
Giriraj Sarvoday Greens ,Bhiwandi Mumbai Beyond Thane Mumbai,Bhiwandi,0 to 1 Year,Ready To Move,Super Built Up Area,1050,4714,10,2,2,49.5,58235.29412
Anjani Sparsh ,204 Mira Road East Mira Road And Beyond Mumbai,Mira Road,1 to 5 Year,Ready To Move,Super Built Up Area,695,8920,2,1,2,62,72941.17647
Unnamed Property,Sector 15 Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1050,10476,2,2,2,110,129411.7647
Unnamed Property,Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1810,15469,37,3,3,280,329411.7647
RNA NG Grand Plaza ,Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1427,14015,20,2,2,200,235294.1176
RNA NG Grand Plaza ,Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1299,13856,10,2,2,180,211764.7059
Unnamed Property,1004 Dombivli East Thane Mumbai,Dombivli Thane,0 to 1 Year,Ready To Move,Super Built Up Area,900,8333,10,2,2,75,88235.29412
Unnamed Property,Bhaskar Colony Naupada Thane West Thane Mumbai,Thane,0 to 1 Year,Ready To Move,Super Built Up Area,650,17076,5,1,1,111,130588.2353
Unnamed Property,Naupada Thane Mumbai,Naupada Thane,0 to 1 Year,Ready To Move,Super Built Up Area,1151,14335,4,2,2,165,194117.6471
Deep Auralis The Twins ,Teen Hath Naka Thane Mumbai,Teen-Hath-Naka Thane,0 to 1 Year,Ready To Move,Super Built Up Area,1350,15777,26,2,3,213,250588.2353
Deep Auralis The Twins ,Teen Hath Naka Thane Mumbai,Teen-Hath-Naka Thane,0 to 1 Year,Ready To Move,Super Built Up Area,1920,12239,1,3,4,235,276470.5882
Pridedream Giriraj Dreams ,Naupada Thane Mumbai,Naupada Thane,0 to 1 Year,Ready To Move,Super Built Up Area,1550,16451,22,2,2,255,300000
Pridedream Giriraj Dreams ,Naupada Thane Mumbai,Naupada Thane,0 to 1 Year,Ready To Move,Super Built Up Area,1150,16956,22,2,2,195,229411.7647
Pridedream Giriraj Dreams ,Naupada Thane Mumbai,Naupada Thane,0 to 1 Year,Ready To Move,Super Built Up Area,1250,16880,22,2,2,211,248235.2941
Pridedream Giriraj Dreams ,Naupada Thane Mumbai,Naupada Thane,0 to 1 Year,Ready To Move,Super Built Up Area,1600,18187,26,3,3,291,342352.9412
Pridedream Giriraj Dreams ,Naupada Thane Mumbai,Naupada Thane,0 to 1 Year,Ready To Move,Super Built Up Area,1600,17937,26,3,3,287,337647.0588
Pridedream Giriraj Dreams ,Naupada Thane Mumbai,Naupada Thane,0 to 1 Year,Ready To Move,Super Built Up Area,1200,17166,26,2,2,206,242352.9412
Unnamed Property,Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,686,8017,1,1,2,55,64705.88235
Siddhi Belleza ,Kutak Bandhan Navi Mumbai Mumbai,Bandhan Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1185,7932,9,2,2,94,110588.2353
Unnamed Property,0000 Kalher Thane Mumbai,Kalher Thane,0 to 1 Year,Ready To Move,Carpet Area,412,6075,2,1,2,25,29411.76471
Unnamed Property,000 Kalher Thane Mumbai,Kalher Thane,0 to 1 Year,Ready To Move,Built Up Area,614,4500,2,1,1,27.6,32470.58824
Unnamed Property,Naupada Thane Mumbai,Naupada Thane,0 to 1 Year,Ready To Move,Carpet Area,690,23043,6,2,2,159,187058.8235
Kanakia Sevens ,5 Min Marol Metro Stn Near International Airpot Andheri Kurla Road Marol Andheri East Marol Mumbai,Andheri Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1250,21621,4,2,2,184,216470.5882
Rosa Oasis ,0000 Ghodbunder Road Thane Mumbai,Thane,1 to 5 Year,Ready To Move,Carpet Area,58.91,191818,19,2,2,113,132941.1765
Runwal Eirene ,2002 Balkum Thane Mumbai,Balkum Thane,0 to 1 Year,Ready To Move,Carpet Area,424,18396,10,1,2,78,91764.70588
Chandiwala Pearl Heights ,Yagna Nagar Mumbai,Yagna Nagar,10+ Year,Ready To Move,Super Built Up Area,1137,20668,7,2,2,235,276470.5882
Unnamed Property,Sector 5 New Panvel East Navi Mumbai Mumbai,Panvel Navi-Mumbai,10+ Year,Ready To Move,Super Built Up Area,870,8620,2,2,2,75,88235.29412
Adelphi Apartment ,Shastri Nagar Mumbai,Shastri Nagar,10+ Year,Ready To Move,Carpet Area,750,28000,6,2,2,210,247058.8235
Unnamed Property,Sector 36 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,390,10000,14,1,2,39,45882.35294
Unnamed Property,Sector 36 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,390,10256,3,1,1,40,47058.82353
Unnamed Property,Sector 44 Seawoods Navi Mumbai Mumbai,Seawoods Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,2000,10500,1,3,2,210,247058.8235
Sky Pan Apartment ,Shastri Nagar Mumbai,Shastri Nagar,5 to 10 Year,Ready To Move,Carpet Area,1200,35416,2,3,3,425,500000
Unnamed Property,Sector 20 Airoli Navi Mumbai Mumbai,Airoli Navi-Mumbai,10+ Year,Ready To Move,Carpet Area,420,18571,4,1,1,78,91764.70588
Unnamed Property,Sector 20 Airoli Navi Mumbai Mumbai,Airoli Navi-Mumbai,10+ Year,Ready To Move,Carpet Area,390,17948,3,1,1,70,82352.94118
Unnamed Property,501 Waghbil Thane Mumbai,Thane,10+ Year,Ready To Move,Carpet Area,700,10857,3,2,2,76,89411.76471
Unnamed Property,Sector 20 Airoli Navi Mumbai Mumbai,Airoli Navi-Mumbai,10+ Year,Ready To Move,Carpet Area,350,15714,2,1,1,55,64705.88235
Group Seven Rushi Heights ,Near By Valentine Complex Malad East Mumbai,Malad Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1050,16190,23,2,2,170,200000
Unnamed Property,Teen Hath Naka Thane Mumbai,Teen-Hath-Naka Thane,1 to 5 Year,Ready To Move,Super Built Up Area,715,15384,5,2,2,110,129411.7647
Godrej Platinum ,Pirojshanagar Central Mumbai suburbs Mumbai,Central Mumbai,1 to 5 Year,Ready To Move,Carpet Area,1700,50000,27,4,5,850,1000000
Nine Realcon Glorious Lifestyle ,108 Nalasopara West Mira Road And Beyond Mumbai,Mira Road,0 to 1 Year,Ready To Move,Super Built Up Area,850,4647,1,2,2,39.5,46470.58824
Unnamed Property,101 Nalasopara West Mira Road And Beyond Mumbai,Mira Road,0 to 1 Year,Ready To Move,Super Built Up Area,1050,4952,1,2,2,52,61176.47059
Marathon Nexzone ,000 Palaspe Phata Navi Mumbai Mumbai,Palaspe Phata Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1215,11847,16,2,2,84,98823.52941
Marathon Nexzone ,000 Palaspe Phata Navi Mumbai Mumbai,Palaspe Phata Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1215,11988,16,2,2,85,100000
Marathon Nexzone ,1001 New Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,1 to 5 Year,Ready To Move,Built Up Area,925,7567,10,2,2,70,82352.94118
Siddhi Belleza ,701 Kutak Bandhan Navi Mumbai Mumbai,Bandhan Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1167,8140,9,2,2,95,111764.7059
City Century One ,Sector 21 Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,890,11123,14,2,2,99,116470.5882
Unnamed Property,201 Panch Pakhadi Thane Mumbai,Thane,0 to 1 Year,Ready To Move,Super Built Up Area,1100,15000,2,2,2,165,194117.6471
Trishul Symphony ,Sector 19 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1455,9621,7,2,2,140,164705.8824
Unnamed Property,Panchpakhadi Thane Thane West Thane Mumbai,Thane,0 to 1 Year,Ready To Move,Super Built Up Area,1500,16666,1,3,3,250,294117.6471
Paradise Sai World City ,Palspa Pata Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,0 to 1 Year,Ready To Move,Carpet Area,1911,14652,29,4,4,280,329411.7647
Paradise Sai World City ,Palspa Fata Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,0 to 1 Year,Ready To Move,Carpet Area,1100,15909,15,3,3,175,205882.3529
Paradise Sai World City ,Palaspa Fata Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,0 to 1 Year,Ready To Move,Carpet Area,825,16363,15,2,2,135,158823.5294
Aryan Land Breeze ,Sec 10 Sector 10 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1100,8545,3,2,2,94,110588.2353
Hiranandani Rodas Enclave ,Hiranandani Estate Thane Mumbai,Hiranandani Thane,5 to 10 Year,Ready To Move,Carpet Area,1500,24333,2,4,3,365,429411.7647
Unnamed Property,12th Sector 14 Koparkhairane Navi Mumbai Mumbai,Koparkhairane Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1600,14875,12,3,3,238,280000
Unnamed Property,Badlapur West Mumbai Beyond Thane Mumbai,Badlapur Mumbai,0 to 1 Year,Ready To Move,Built Up Area,650,5044,3,1,1,32.8,38588.23529
Unnamed Property,Badlapur West Mumbai Beyond Thane Mumbai,Badlapur Mumbai,0 to 1 Year,Ready To Move,Built Up Area,900,4728,4,2,2,42.6,50117.64706
Unnamed Property,Badlapur Mumbai Beyond Thane Mumbai,Badlapur Mumbai,0 to 1 Year,Ready To Move,Built Up Area,650,4615,5,1,1,30,35294.11765
Shashwat Park 2 ,Badlapur West Mumbai Beyond Thane Mumbai,Badlapur Mumbai,1 to 5 Year,Ready To Move,Built Up Area,620,3387,0,1,1,21,24705.88235
Shashwat Park ,Manjarli Mumbai Beyond Thane Mumbai,Manjarli Mumbai,1 to 5 Year,Ready To Move,Built Up Area,635,3425,7,1,1,21.8,25647.05882
Heramb Park ,Badlapur West Mumbai Beyond Thane Mumbai,Badlapur Mumbai,1 to 5 Year,Ready To Move,Built Up Area,600,3333,0,1,1,20,23529.41176
Heramb Park ,Badlapur West Mumbai Beyond Thane Mumbai,Badlapur Mumbai,1 to 5 Year,Ready To Move,Carpet Area,443,4966,7,1,1,22,25882.35294
Unnamed Property,Neral Mumbai Beyond Thane Mumbai,Neral Mumbai,0 to 1 Year,Ready To Move,Carpet Area,410,4634,3,1,1,19,22352.94118
Lodha Casa Bella Gold ,Dombivli East Thane Mumbai,Dombivli Thane,1 to 5 Year,Ready To Move,Carpet Area,628,8439,5,2,2,53,62352.94118
Unnamed Property,Dombivli East Thane Mumbai,Dombivli Thane,1 to 5 Year,Ready To Move,Carpet Area,686,8600,7,2,2,59,69411.76471
L and T Emerald Isle ,304 Powai Central Mumbai suburbs Mumbai,Central Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1356,19026,15,2,2,258,303529.4118
Unnamed Property,Near Thakur Aspire Thakur Village Mumbai,Thakur Village,0 to 1 Year,Ready To Move,Carpet Area,600,25833,16,2,2,155,182352.9412
L and T Emerald Isle ,210 Powai Central Mumbai suburbs Mumbai,Central Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,986,19979,21,2,2,197,231764.7059
Unnamed Property,Middle Sector 20 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1150,7217,4,2,2,83,97647.05882
Gurukrupa Aramus Complex ,Ulwe Sector 21 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1199,7172,4,2,2,86,101176.4706
Pratik Regalia ,Ulwe Sector 21 Sector 21 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1107,6639,3,2,2,73.5,86470.58824
Yogsiddhi Sumukh Hills ,703 Kandivali East Mumbai,Kandivali Mumbai,0 to 1 Year,Ready To Move,Carpet Area,620,26612,7,2,2,165,194117.6471
Raunak Unnathi Woods Phase 6 ,Thane West Thane Mumbai,Thane,1 to 5 Year,Ready To Move,Super Built Up Area,989,8594,5,2,2,85,100000
Prasham Vishal 2 ,602 Borivali West Mumbai,Borivali Mumbai,1 to 5 Year,Ready To Move,Carpet Area,904,33738,6,3,3,305,358823.5294
Unnamed Property,Malad West Mumbai,Malad Mumbai,10+ Year,Ready To Move,Carpet Area,500,14400,5,1,1,72,84705.88235
Vijay Park ,Kasar vadavali Thane Mumbai,Kasar Vadavali Thane,10+ Year,Ready To Move,Super Built Up Area,600,8083,3,1,1,48.5,57058.82353
Omkar Alta Monte ,Omkar Alta Monte Malad East Malad East Mumbai,Malad Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1750,25645,39,3,3,318,374117.6471
Haware Tiara ,Sector 13 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Built Up Area,1550,10967,11,3,3,170,200000
Unnamed Property,Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,10+ Year,Ready To Move,Super Built Up Area,1200,7666,4,2,2,92,108235.2941
Sai Ashirwad ,Mira Road Mira Road And Beyond Mumbai,Mira Road,10+ Year,Ready To Move,Super Built Up Area,360,10138,0,1,1,36.5,42941.17647
Advance Heights ,Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1130,8849,13,2,2,100,117647.0588
Unnamed Property,Ghotkamp Koyana Vele Navi Mumbai Mumbai,Koyana Vele Navi-Mumbai,0 to 1 Year,Ready To Move,Carpet Area,600,7500,2,2,2,45,52941.17647
Siddhivinayak Garima ,Taloja Navi Mumbai Mumbai,Taloja Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,400,8000,2,1,2,32,37647.05882
Unnamed Property,Juhu Mumbai South West Mumbai,Juhu Mumbai,10+ Year,Ready To Move,Super Built Up Area,5700,42105,1,4,4,2400,2823529.412
Unnamed Property,Juhu Mumbai South West Mumbai,Juhu Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1500,30000,5,3,3,450,529411.7647
Gajora Kalpavruksha Valley ,Sector 23 Taloja Navi Mumbai Mumbai,Taloja Navi-Mumbai,0 to 1 Year,Ready To Move,Carpet Area,49454,84,1,1,2,42,49411.76471
Sai Kaveesha ,Taloja Navi Mumbai Mumbai,Taloja Navi-Mumbai,0 to 1 Year,Ready To Move,Carpet Area,420,8571,10,1,1,36,42352.94118
Sai Kaveesha ,Taloja Navi Mumbai Mumbai,Taloja Navi-Mumbai,0 to 1 Year,Ready To Move,Carpet Area,421,8313,11,1,1,35,41176.47059
Paradise Sai Riverdale ,Taloja Panchanand Navi Mumbai Mumbai,Taloja Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1115,7174,3,2,2,80,94117.64706
Baline Residency ,Taloja Panchanand Navi Mumbai Mumbai,Taloja Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1020,7352,3,2,2,75,88235.29412
Baline Residency ,Taloja Panchanand Navi Mumbai Mumbai,Taloja Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1150,6521,2,2,2,75,88235.29412
Unnamed Property,Dahisar West Mumbai,Dahisar Mumbai,1 to 5 Year,Ready To Move,Carpet Area,536,27238,1,2,2,146,171764.7059
Unnamed Property,Borivali West Mumbai,Borivali Mumbai,0 to 1 Year,Ready To Move,Carpet Area,565,28672,13,2,2,162,190588.2353
Unnamed Property,Borivali West Mumbai,Borivali Mumbai,10+ Year,Ready To Move,Carpet Area,450,23333,2,1,1,105,123529.4118
Unnamed Property,Vazira Mumbai,Vazira Mumbai,5 to 10 Year,Ready To Move,Carpet Area,400,27500,6,1,1,110,129411.7647
Mallhar Bhimashankar Heights ,Kandarpada Mumbai,Kandarpada Mumbai,0 to 1 Year,Ready To Move,Carpet Area,734,26566,19,2,3,195,229411.7647
Omkar Vive ,kurla west Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Carpet Area,409,25672,2,1,1,105,123529.4118
Ventures Residency ,123 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1230,7317,11,2,2,90,105882.3529
Bhoomi Park ,302 Jankalyan Nagar Mumbai,Malad Mumbai,10+ Year,Ready To Move,Super Built Up Area,625,14080,3,1,2,88,103529.4118
Silicon Park ,1401 Jankalyan Nagar Mumbai,Malad Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,700,12857,14,1,2,90,105882.3529
Gurukrupa Marina Enclave ,1301 Malad West Mumbai,Malad Mumbai,1 to 5 Year,Ready To Move,Carpet Area,452,23230,13,1,2,105,123529.4118
Gurukrupa Marina Enclave ,1202 Malad West Mumbai,Malad Mumbai,0 to 1 Year,Ready To Move,Carpet Area,638,22257,12,2,2,142,167058.8235
Gurukrupa Marina Enclave ,1201 Malad West Mumbai,Malad Mumbai,0 to 1 Year,Ready To Move,Carpet Area,635,22204,12,2,2,141,165882.3529
Gurukrupa Marina Enclave ,1203 Malad West Mumbai,Malad Mumbai,0 to 1 Year,Ready To Move,Carpet Area,635,24409,12,2,2,155,182352.9412
Gurukrupa Marina Enclave ,1204 Malad West Mumbai,Malad Mumbai,0 to 1 Year,Ready To Move,Carpet Area,838,24105,12,3,3,202,237647.0588
Bhoomi Park ,901 Jankalyan Nagar Mumbai,Malad Mumbai,10+ Year,Ready To Move,Super Built Up Area,1200,15416,9,3,3,185,217647.0588
Tricity Symphony ,Sector 35 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1080,8333,5,2,2,90,105882.3529
Royal Oasis ,1302 Jankalyan Nagar Mumbai,Malad Mumbai,5 to 10 Year,Ready To Move,Carpet Area,669,21001,13,2,2,141,165882.3529
Royal Oasis ,902 Jankalyan Nagar Mumbai,Malad Mumbai,5 to 10 Year,Ready To Move,Carpet Area,600,22500,9,2,2,135,158823.5294
Royal Oasis ,805 Jankalyan Nagar Mumbai,Malad Mumbai,5 to 10 Year,Ready To Move,Carpet Area,600,23333,8,2,2,140,164705.8824
Ahuja Sea Shell Apartment ,Sector 8 Charkop Mumbai,Charkop Mumbai,10+ Year,Ready To Move,Carpet Area,675,18962,2,2,2,128,150588.2353
Sunteck City Avenue 1 ,1903 Goregaon West Mumbai,Goregaon Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1200,19916,19,2,2,239,281176.4706
Yashwant Arcade CHS ,Koparkhairane Navi Mumbai Mumbai,Koparkhairane Navi-Mumbai,5 to 10 Year,Ready To Move,Carpet Area,650,14769,2,2,2,96,112941.1765
Triveni Laurel ,1652 Gauripada Mumbai Beyond Thane Mumbai,Gauripada Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1156,9083,15,2,2,105,123529.4118
Unnamed Property,6542 Khadakpada Mumbai Beyond Thane Mumbai,Khadakpada Mumbai,5 to 10 Year,Ready To Move,Built Up Area,1545,7896,9,3,3,122,143529.4118
Kings Court by TCJ Realty ,1235 Kalyan West Mumbai Beyond Thane Mumbai,Kalyan Thane,5 to 10 Year,Ready To Move,Super Built Up Area,1170,7008,3,2,2,82,96470.58824
Tharwani Riverdale ,2356 Khadakpada Mumbai Beyond Thane Mumbai,Khadakpada Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1130,6637,2,2,2,75,88235.29412
Mohan Highlands ,Katrap Mumbai Beyond Thane Mumbai,Katrap Mumbai,1 to 5 Year,Ready To Move,Built Up Area,1330,4511,3,3,3,60,70588.23529
Unnamed Property,secter 7 koparkhairne Navi Mumbai Mumbai,Koparkhairne Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1050,10476,0,2,2,110,129411.7647
Deep Manohar Shreeji Nirvana ,Badlapur East Mumbai Beyond Thane Mumbai,Badlapur Mumbai,1 to 5 Year,Ready To Move,Built Up Area,800,4625,1,2,2,37,43529.41176
Satyam Paradise ,Katrap Mumbai Beyond Thane Mumbai,Katrap Mumbai,5 to 10 Year,Ready To Move,Built Up Area,875,4228,6,2,2,37,43529.41176
Unnamed Property,1234 Tilak chowk Mumbai Beyond Thane Mumbai,Tilak Chowk Mumbai,1 to 5 Year,Ready To Move,Built Up Area,925,10270,6,2,2,95,111764.7059
Unnamed Property,4532 Adharwadi Mumbai Beyond Thane Mumbai,Adharwadi Mumbai,10+ Year,Ready To Move,Built Up Area,3000,5733,14,4,4,172,202352.9412
Unnamed Property,Vile Parle East Mumbai South West Mumbai,Vile Parle Mumbai,0 to 1 Year,Ready To Move,Built Up Area,1253,32162,10,3,3,403,474117.6471
Maghnani Euphoria ,Near New Daily Mart Sector 18 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,703,7611,1,1,2,53.5,62941.17647
Unnamed Property,Near Ramseth Thakur Sports Complex Sector 16 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1000,7000,2,2,2,70,82352.94118
