Property_Name,Location,Price,Rate_SqFt,Area_Tpye,Bedroom,Bathroom,Floor_No,Property_Age,Availability,Area_SqFt,Region,Price_Lakh,Latitude,Longitude,USD
White City ,Kandivali East Mumbai,1.1 Crore,22964,Carpet Area,1,1,3,0 to 1 Year,Ready To Move,479,Kandivali Mumbai,110,19.2103809,72.8640837,1294.117647
Alica Nagar CHS ,203 Lokhandwala Kandivali East Mumbai,1.45 Crore,21969,Super Built Up Area,2,2,3,10+ Year,Ready To Move,660,Lokhandwala Kandivali,145,19.198814,72.8730296,1705.882353
Vision Residency ,Roadpali Kalamboli Navi Mumbai Mumbai,45 Lac,6716,Super Built Up Area,1,2,2,5 to 10 Year,Ready To Move,670,Kalamboli Navi-Mumbai,45,19.0392786,73.0992311,529.4117647
Bhoomi Gardenia ,Roadpali Navi Mumbai Mumbai,49 Lac,7050,Super Built Up Area,1,1,4,5 to 10 Year,Ready To Move,695,Roadpali Navi-Mumbai,49,19.0392786,73.0992311,576.4705882
Bhoomi Gardenia ,Roadpali Navi Mumbai Mumbai,77 Lac,6905,Super Built Up Area,2,2,8,5 to 10 Year,Ready To Move,1115,Roadpali Navi-Mumbai,77,19.0392786,73.0992311,905.8823529
Sai Avaneesh ,Roadpali Navi Mumbai Mumbai,95 Lac,8340,Super Built Up Area,2,2,11,5 to 10 Year,Ready To Move,1139,Roadpali Navi-Mumbai,95,19.0392786,73.0992311,1117.647059
Bathija Siddhivinayak Heights ,Kalamboli Navi Mumbai Mumbai,76 Lac,6495,Super Built Up Area,2,2,6,1 to 5 Year,Ready To Move,1170,Kalamboli Navi-Mumbai,76,19.0392786,73.0992311,894.1176471
Unnamed Property,New Panvel Navi Mumbai Mumbai,75 Lac,8823,Built Up Area,2,2,3,5 to 10 Year,Ready To Move,850,Panvel Navi-Mumbai,75,18.9949462,73.1146581,882.3529412
Paradise Sai World City ,Panvel Navi Mumbai Mumbai,1.2 Crore,13667,Carpet Area,2,2,7,0 to 1 Year,Ready To Move,878,Panvel Navi-Mumbai,120,19.0392786,73.0992311,1411.764706
Rna NG Suncity Phase 3 ,Thakur Village Mumbai,86 Lac,21078,Carpet Area,1,2,3,5 to 10 Year,Ready To Move,408,Thakur Village,86,19.2097189,72.8759248,1011.764706
Rna NG Suncity Phase 3 ,Thakur Village Mumbai,1.3 Crore,13131,Super Built Up Area,2,2,3,10+ Year,Ready To Move,990,Thakur Village,130,19.2097189,72.8759248,1529.411765
Unnamed Property,Thakur Village Mumbai,1.35 Crore,21428,Carpet Area,2,2,12,5 to 10 Year,Ready To Move,630,Thakur Village,135,19.2097189,72.8759248,1588.235294
Lodha Fiorenza ,Goregaon East Mumbai,3.65 Crore,33765,Carpet Area,3,4,18,1 to 5 Year,Ready To Move,1081,Goregaon Mumbai,365,19.1692623,72.8552548,4294.117647
Evershine Millennium Paradise ,Thakur Village Mumbai,1.02 Crore,18378,Super Built Up Area,1,2,2,10+ Year,Ready To Move,555,Thakur Village,102,19.2097189,72.8759248,1200
Evershine Millennium Paradise ,Thakur Village Mumbai,1.7 Crore,20987,Built Up Area,2,2,3,10+ Year,Ready To Move,810,Thakur Village,170,19.2097189,72.8759248,2000
Concorde Cosmos Horizon ,0000 Pokhran 2 Thane Mumbai,1.45 Crore,20194,Built Up Area,2,2,7,5 to 10 Year,Ready To Move,900,Pokhran Thane,145,19.219052,72.9678472,1705.882353
